,Crop,Stage,Disease Name,Pathogen Type,Favorable Weather Conditions,Symptoms at This Stage,Why This Stage is Vulnerable,Preventive Measures,Monitoring Indicators,NDVI,EVI,SAVI,NDRE,LAI,NDWI,NDMI,RSM,RVI,VARI,SOC,AVI,BSI,SI,VSSI,Crop_enc,Stage_enc,Disease_enc
0,corn,seed treatment & sowing,seed rot & seedling blight (pythium spp.),Fungus (Oomycete),"Cool, wet soils; soil temperature < 15–18°C; high soil moisture","Seeds fail to germinate, soft rotten seeds, weak or water-soaked seedlings","Seeds are in prolonged contact with moist soil; low GDD (~10) slows germination, giving pathogen more time to infect",Use treated seeds; ensure well-drained soil; avoid early sowing in cold soils,Soil moisture levels >70%; NDVI shows no early emergence; continuous cloudy/rainy days,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,183
1,corn,seed treatment & sowing,seedling blight (fusarium spp.),Fungus,Warm + moist soils; fluctuating temperatures; moderate rainfall,"Poor emergence, reddish/pink discoloration on seed or root, weak seedlings",Fusarium survives in soil and infects slow-germinating seeds; early stage roots are tender,Use fungicide-treated seeds; crop rotation; avoid planting in infected fields,Soil temp fluctuations; erratic NDVI rise; history of Fusarium in field,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,187
2,corn,seed treatment & sowing,seedling anthracnose,Fungus,Warm and humid; rainfall during sowing,"Brown to black lesions on emerging coleoptile, weak seedlings",The pathogen infects shoots as soon as seedlings emerge; low GDD means slow emergence,Certified seeds; treat seeds with broad-spectrum fungicide; maintain proper plant spacing,High humidity (>85%); rainfall immediately after sowing; NDVI slow growth trends,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,22,185
3,corn,seed treatment & sowing,common smut,Fungus,Dry conditions followed by brief moisture; warm soil,Usually asymptomatic at sowing; may show slight swelling on seedling nodes later,Infection occurs through young meristematic tissues during very early stages,Use resistant hybrids; seed treatment; avoid mechanical injury during sowing,Soil injury zones; fluctuating humidity; NDVI uneven emergence,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,22,56
4,corn,seed treatment & sowing,seed corn maggot,Pest (Insect Larvae),"Cool, wet soils; heavy organic matter; recently manured fields","Seeds hollowed out, missing seeds, weak emergence",Slow germination due to low GDD (10) makes seeds exposed longer for larval attack,Avoid fresh manure before sowing; use insecticide-treated seeds; proper soil preparation,Pest trap counts; soil organic matter; NDVI gaps in early emergence,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,181
5,corn,seed treatment & sowing,stewart’s wilt,Bacteria,Warm early-season temperatures; presence of flea beetles,No visible symptoms yet—early infection is internal,Bacteria enter young seedlings when flea beetles feed on emerging tissue,Plant resistant varieties; manage flea beetles; seed treatment with antibacterial agents,Flea beetle population counts; warm spring; NDVI slight initial suppression,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,211
6,corn,germination,pythium seed rot & damping-off,Fungus (Oomycete),"Cool, wet soils; soil temp <18°C; waterlogged beds","Seeds rot before sprouting, seedlings collapse shortly after emergence","Low GDD (~10) slows germination, keeping seeds in moist soil longer → ideal for Pythium",Use treated seeds; ensure proper drainage; avoid early planting in cold soils,High soil moisture (>70%); continuous cloudy days; NDVI shows no early emergence,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,9,159
7,corn,germination,fusarium seedling blight,Fungus,Warm–cool alternating temps; moist soils; moderate rainfall,"Stunted or pale seedlings, brown discoloration near roots",Rapid pathogen growth during fluctuating soil temps; germinating seeds have weak root systems,Fungicide-treated seed; crop rotation; avoid planting in infected fields,NDVI slow rise; soil temperature swings; Fusarium history in the field,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,99
8,corn,germination,rhizoctonia damping-off,Fungus,Warm soils (20–25°C) but also active in cool moist periods,Brown sunken lesions on roots; seedlings fail to establish,Germinating seeds have delicate roots easily attacked during early growth,Use clean seeds; proper seed spacing; avoid poorly drained soil,Soil crusting; patchy NDVI emergence; warm days + cool nights,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,164
9,corn,germination,seedling anthracnose,Fungus,"Humid, warm weather; rainfall during or after sowing",Black/brown lesions on emerging shoots; weak seedlings,Young tissues emerging from soil are highly susceptible,Use certified seeds; fungicide treatment; maintain optimal sowing depth,High humidity (>80%); rainfall within 48 hrs of sowing; slow NDVI growth,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,9,185
