Crop,Stage,Disease Name,Pathogen Type , Favorable Weather Conditions ,Symptoms at This Stage ,Why This Stage is Vulnerable ,Preventive Measures ,Monitoring Indicators 
corn,Seed Treatment & Sowing,Seed Rot & Seedling Blight (Pythium spp.),Fungus (Oomycete),"Cool, wet soils; soil temperature < 15–18°C; high soil moisture","Seeds fail to germinate, soft rotten seeds, weak or water-soaked seedlings","Seeds are in prolonged contact with moist soil; low GDD (~10) slows germination, giving pathogen more time to infect",Use treated seeds; ensure well-drained soil; avoid early sowing in cold soils,Soil moisture levels >70%; NDVI shows no early emergence; continuous cloudy/rainy days
corn,Seed Treatment & Sowing,Seedling Blight (Fusarium spp.),Fungus,Warm + moist soils; fluctuating temperatures; moderate rainfall,"Poor emergence, reddish/pink discoloration on seed or root, weak seedlings",Fusarium survives in soil and infects slow-germinating seeds; early stage roots are tender,Use fungicide-treated seeds; crop rotation; avoid planting in infected fields,Soil temp fluctuations; erratic NDVI rise; history of Fusarium in field
corn,Seed Treatment & Sowing,Seedling Anthracnose,Fungus,Warm and humid; rainfall during sowing,"Brown to black lesions on emerging coleoptile, weak seedlings",The pathogen infects shoots as soon as seedlings emerge; low GDD means slow emergence,Certified seeds; treat seeds with broad-spectrum fungicide; maintain proper plant spacing,High humidity (>85%); rainfall immediately after sowing; NDVI slow growth trends
corn,Seed Treatment & Sowing,Common Smut,Fungus,Dry conditions followed by brief moisture; warm soil,Usually asymptomatic at sowing; may show slight swelling on seedling nodes later,Infection occurs through young meristematic tissues during very early stages,Use resistant hybrids; seed treatment; avoid mechanical injury during sowing,Soil injury zones; fluctuating humidity; NDVI uneven emergence
corn,Seed Treatment & Sowing,Seed Corn Maggot,Pest (Insect Larvae),"Cool, wet soils; heavy organic matter; recently manured fields","Seeds hollowed out, missing seeds, weak emergence",Slow germination due to low GDD (10) makes seeds exposed longer for larval attack,Avoid fresh manure before sowing; use insecticide-treated seeds; proper soil preparation,Pest trap counts; soil organic matter; NDVI gaps in early emergence
corn,Seed Treatment & Sowing,Stewart’s Wilt,Bacteria,Warm early-season temperatures; presence of flea beetles,No visible symptoms yet—early infection is internal,Bacteria enter young seedlings when flea beetles feed on emerging tissue,Plant resistant varieties; manage flea beetles; seed treatment with antibacterial agents,Flea beetle population counts; warm spring; NDVI slight initial suppression
corn,Germination,Pythium Seed Rot & Damping-Off,Fungus (Oomycete),"Cool, wet soils; soil temp <18°C; waterlogged beds","Seeds rot before sprouting, seedlings collapse shortly after emergence","Low GDD (~10) slows germination, keeping seeds in moist soil longer → ideal for Pythium",Use treated seeds; ensure proper drainage; avoid early planting in cold soils,High soil moisture (>70%); continuous cloudy days; NDVI shows no early emergence
corn,Germination,Fusarium Seedling Blight,Fungus,Warm–cool alternating temps; moist soils; moderate rainfall,"Stunted or pale seedlings, brown discoloration near roots",Rapid pathogen growth during fluctuating soil temps; germinating seeds have weak root systems,Fungicide-treated seed; crop rotation; avoid planting in infected fields,NDVI slow rise; soil temperature swings; Fusarium history in the field
corn,Germination,Rhizoctonia Damping-Off,Fungus,Warm soils (20–25°C) but also active in cool moist periods,Brown sunken lesions on roots; seedlings fail to establish,Germinating seeds have delicate roots easily attacked during early growth,Use clean seeds; proper seed spacing; avoid poorly drained soil,Soil crusting; patchy NDVI emergence; warm days + cool nights
corn,Germination,Seedling Anthracnose,Fungus,"Humid, warm weather; rainfall during or after sowing",Black/brown lesions on emerging shoots; weak seedlings,Young tissues emerging from soil are highly susceptible,Use certified seeds; fungicide treatment; maintain optimal sowing depth,High humidity (>80%); rainfall within 48 hrs of sowing; slow NDVI growth
corn,Germination,Seed Corn Maggot,Pest (Larvae),"Cool, wet soils; fields with heavy organic matter or manure","Seeds hollowed, missing, or fail to sprout",Slow germination due to low GDD exposes seeds longer to larval feeding,Avoid fresh manure; insecticide-treated seeds; good tillage,Pest trap counts; high soil organic matter; NDVI emergence gaps
corn,Germination,Stewart’s Wilt (Early Infection),Bacteria,Warm early temperatures; flea beetle presence,Symptoms not visible yet; infection begins when beetles feed on seedlings,Germinating seedlings have soft tissues easily penetrated by beetles,Control flea beetles; resistant hybrids; antibacterial seed treatment,Flea beetle counts; warm early-season weather; slight NDVI suppression
corn,Emergence(VE),Pythium Damping-Off,Fungus (Oomycete),"Cool, wet soils; soil temp <18°C; prolonged moisture","Seedlings collapse at soil line, water-soaked stems, pale emerging shoots","Low GDD (~10) slows emergence, keeping hypocotyl and mesocotyl exposed to infection",Treated seeds; avoid waterlogging; sow at optimal soil temps,Soil moisture >70%; cloudy/rainy days; NDVI weak emergence patches
corn,Emergence(VE),Rhizoctonia Root Rot,Fungus,Moist soils; warm days + cool nights,Sunken brown lesions on coleoptile or roots; uneven stands,Young roots are still forming; soil fungi attack tender tissues during emergence,"Seed treatment; avoid planting in cold, compacted soil; ensure good aeration",Soil crusting; patchy emergence in NDVI; fluctuating soil temps
corn,Emergence(VE),Fusarium Seedling Blight,Fungus,Moderate moisture; fluctuating soil temperature,"Stunted VE seedlings, pale leaves, brown root discoloration",Fusarium infects slow-growing seedlings before strong root systems form,Crop rotation; fungicide-treated seeds; avoid infected fields,NDVI slow rise; soil temp swings; prior Fusarium presence
corn,Emergence(VE),Seedling Anthracnose,Fungus,High humidity; rain after sowing,Black/brown lesions on coleoptile; weakened shoots,Newly emerged tissues are soft and exposed; rainfall splashes spores onto seedlings,Certified seeds; fungicide seed coats; avoid shallow sowing,Humidity >80%; rainfall events; NDVI low vigor trends
corn,Emergence(VE),Common Smut (Early Infection),Fungus,"Warm, dry → sudden moisture; light soil injury",No visible VE-stage symptoms yet; early internal infection possible,Pathogen enters through wounds on young shoots during emergence,Resistant hybrids; minimize mechanical injury; seed treatment,Humidity shifts; soil damage zones; NDVI uneven emergence
corn,Emergence(VE),Seed Corn Maggot,Pest,"Cool, wet soils; recently manured fields",Missing seedlings; weak or delayed emergence,"Larvae feed on seeds before/at VE, reducing stand count",Avoid fresh manure; insecticide-treated seeds; proper soil prep,Pest trap counts; organic matter levels; NDVI gaps in rows
corn,Emergence(VE),Stewart’s Wilt (Early Beetle Transmission),Bacteria,Warm early season; flea beetle activity,"VE seedlings may show slight leaf streaking later, but infection begins now",Young shoots are tender; flea beetles transmit bacteria during feeding,Control beetles; resistant varieties; insecticidal seed treatment,Beetle counts; warm weather patterns; initial NDVI suppression
